Level,cost_W,cost_Blue,cost_Green,cost_Red,cost_Black,PV,White,Blue,Green,Red,Black,Cost in stones
I,,3,,,,,1,,,,,3
I,,,,2,1,,1,,,,,3
I,,1,1,1,1,,1,,,,,4
I,,2,,,2,,1,,,,,4
I,,,4,,,1,1,,,,,4
I,,1,2,1,1,,1,,,,,5
I,,2,2,,1,,1,,,,,5
I,3,1,,,1,,1,,,,,5
I,1,,,,2,,,1,,,,3
I,,,,,3,,,1,,,,3
I,1,,1,1,1,,,1,,,,4
I,,,2,,2,,,1,,,,4
I,,,,4,,1,,1,,,,4
I,1,,1,2,1,,,1,,,,5
I,1,,2,2,,,,1,,,,5
I,,1,3,1,,,,1,,,,5
I,2,1,,,,,,,1,,,3
I,,,,3,,,,,1,,,3
I,1,1,,1,1,,,,1,,,4
I,,2,,2,,,,,1,,,4
I,,,,,4,1,,,1,,,4
I,1,1,,1,2,,,,1,,,5
I,,1,,2,2,,,,1,,,5
I,1,3,1,,,,,,1,,,5
I,,2,1,,,,,,,1,,3
I,3,,,,,,,,,1,,3
I,1,1,1,,1,,,,,1,,4
I,2,,,2,,,,,,1,,4
I,4,,,,,1,,,,1,,4
I,2,1,1,,1,,,,,1,,5
I,2,,1,,2,,,,,1,,5
I,1,,,1,3,,,,,1,,5
I,,,2,1,,,,,,,1,3
I,,,3,,,,,,,,1,3
I,1,1,1,1,,,,,,,1,4
I,2,,2,,,,,,,,1,4
I,,4,,,,1,,,,,1,4
I,1,2,1,1,,,,,,,1,5
I,2,2,,1,,,,,,,1,5
I,,,1,3,1,,,,,,1,5
II,,,,5,,2,1,,,,,5
II,6,,,,,3,1,,,,,6
II,,,3,2,2,1,1,,,,,7
II,,,1,4,2,2,1,,,,,7
II,2,3,,3,,1,1,,,,,8
II,,,,5,3,2,1,,,,,8
II,,5,,,,2,,1,,,,5
II,,6,,,,3,,1,,,,6
II,,2,2,3,,1,,1,,,,7
II,2,,,1,4,2,,1,,,,7
II,,2,3,,3,1,,1,,,,8
II,5,3,,,,2,,1,,,,8
II,,,5,,,2,,,1,,,5
II,,,6,,,3,,,1,,,6
II,2,3,,,2,1,,,1,,,7
II,3,,2,3,,1,,,1,,,8
II,4,2,,,1,2,,,1,,,7
II,,5,3,,,2,,,1,,,8
II,,,,,5,2,,,,1,,5
II,,,,6,,3,,,,1,,6
II,2,,,2,3,1,,,,1,,7
II,1,4,2,,,2,,,,1,,7
II,,3,,2,3,1,,,,1,,8
II,3,,,,5,2,,,,1,,8
II,5,,,,,2,,,,,1,5
II,,,,,6,3,,,,,1,6
II,3,2,2,,,1,,,,,1,7
II,,1,4,2,,2,,,,,1,7
II,3,,3,,2,1,,,,,1,8
II,,,5,3,,2,,,,,1,8
III,,,,,7,4,1,,,,,7
III,3,,,,7,5,1,,,,,10
III,3,,,3,6,4,1,,,,,12
III,,3,3,5,3,3,1,,,,,14
III,7,,,,,4,,1,,,,7
III,7,3,,,,5,,1,,,,10
III,6,3,,,3,4,,1,,,,12
III,3,,3,3,5,3,,1,,,,14
III,,7,,,,4,,,1,,,7
III,,7,3,,,5,,,1,,,10
III,3,6,3,,,4,,,1,,,12
III,5,3,,3,3,3,,,1,,,14
III,,,7,,,4,,,,1,,7
III,,,7,3,,5,,,,1,,10
III,,3,6,3,,4,,,,1,,12
III,3,5,3,,3,3,,,,1,,14
III,,,,7,,4,,,,,1,7
III,,,,7,3,5,,,,,1,10
III,,,3,6,3,4,,,,,1,12
III,3,3,5,3,,3,,,,,1,14
,,,,,,,,,,,,
