id,tier,W,b,g,r,B,type,pv
1,1,0,3,0,0,0,W,0
2,1,0,0,0,2,1,W,0
3,1,0,1,1,1,1,W,0
4,1,0,2,0,0,2,W,0
5,1,0,0,4,0,0,W,1
6,1,0,1,2,1,1,W,0
7,1,0,2,2,0,1,W,0
8,1,3,1,0,0,1,W,0
9,1,1,0,0,0,2,b,0
10,1,0,0,0,0,3,b,0
11,1,1,0,1,1,1,b,0
12,1,0,0,2,0,2,b,0
13,1,0,0,0,4,0,b,1
14,1,1,0,1,2,1,b,0
15,1,1,0,2,2,0,b,0
16,1,0,1,3,1,0,b,0
17,1,2,1,0,0,0,g,0
18,1,0,0,0,3,0,g,0
19,1,1,1,0,1,1,g,0
20,1,0,2,0,2,0,g,0
21,1,0,0,0,0,4,g,1
22,1,1,1,0,1,2,g,0
23,1,0,1,0,2,2,g,0
24,1,1,3,1,0,0,g,0
25,1,0,2,1,0,0,r,0
26,1,3,0,0,0,0,r,0
27,1,1,1,1,0,1,r,0
28,1,2,0,0,2,0,r,0
29,1,4,0,0,0,0,r,1
30,1,2,1,1,0,1,r,0
31,1,2,0,1,0,2,r,0
32,1,1,0,0,1,3,r,0
33,1,0,0,2,1,0,B,0
34,1,0,0,3,0,0,B,0
35,1,1,1,1,1,0,B,0
36,1,2,0,2,0,0,B,0
37,1,0,4,0,0,0,B,1
38,1,1,2,1,1,0,B,0
39,1,2,2,0,1,0,B,0
40,1,0,0,1,3,1,B,0
41,2,0,0,0,5,0,W,2
42,2,6,0,0,0,0,W,3
43,2,0,0,3,2,2,W,1
44,2,0,0,1,4,2,W,2
45,2,2,3,0,3,0,W,1
46,2,0,0,0,5,3,W,2
47,2,0,5,0,0,0,b,2
48,2,0,6,0,0,0,b,3
49,2,0,2,2,3,0,b,1
50,2,2,0,0,1,4,b,2
51,2,0,2,3,0,3,b,1
52,2,5,3,0,0,0,b,2
53,2,0,0,5,0,0,g,2
54,2,0,0,6,0,0,g,3
55,2,2,3,0,0,2,g,1
56,2,3,0,2,3,0,g,1
57,2,4,2,0,0,1,g,2
58,2,0,5,3,0,0,g,2
59,2,0,0,0,0,5,r,2
60,2,0,0,0,6,0,r,3
61,2,2,0,0,2,3,r,1
62,2,1,4,2,0,0,r,2
63,2,0,3,0,2,3,r,1
64,2,3,0,0,0,5,r,2
65,2,5,0,0,0,0,B,2
66,2,0,0,0,0,6,B,3
67,2,3,2,2,0,0,B,1
68,2,0,1,4,2,0,B,2
69,2,3,0,3,0,2,B,1
70,2,0,0,5,3,0,B,2
71,3,0,0,0,0,7,W,4
72,3,3,0,0,0,7,W,5
73,3,3,0,0,3,6,W,4
74,3,0,3,3,5,3,W,3
75,3,7,0,0,0,0,b,4
76,3,7,3,0,0,0,b,5
77,3,6,3,0,0,3,b,4
78,3,3,0,3,3,5,b,3
79,3,0,7,0,0,0,g,4
80,3,0,7,3,0,0,g,5
81,3,3,6,3,0,0,g,4
82,3,5,3,0,3,3,g,3
83,3,0,0,7,0,0,r,4
84,3,0,0,7,3,0,r,5
85,3,0,3,6,3,0,r,4
86,3,3,5,3,0,3,r,3
87,3,0,0,0,7,0,B,4
88,3,0,0,0,7,3,B,5
89,3,0,0,3,6,3,B,4
90,3,3,3,5,3,0,B,3
